"nombre","edad","posicion","imagen","nacionalidadAlt","nacionalidad","nacionalidad2Alt","nacionalidad2","club","clubAlt","valorCarrera","ultimaRevision","valorMercado"
"Erling Haaland","24","Delantero centro","https://img.a.transfermarkt.technology/portrait/medium/418560-1709108116.png?lm=1","Noruega","https://tmssl.akamaized.net//images/flagge/verysmall/125.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/281.png?lm=1467356331","Manchester City","200,00 mill. €","30/05/2025","180,00 mill. €"
"Bukayo Saka","23","Extremo derecho","https://img.a.transfermarkt.technology/portrait/medium/433177-1684155052.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","Nigeria","https://tmssl.akamaized.net//images/flagge/verysmall/124.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/11.png?lm=1489787850","Arsenal FC","150,00 mill. €","30/05/2025","150,00 mill. €"
"Declan Rice","26","Mediocentro","https://img.a.transfermarkt.technology/portrait/medium/357662-1687962936.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","Irlanda","https://tmssl.akamaized.net//images/flagge/verysmall/72.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/11.png?lm=1489787850","Arsenal FC","120,00 mill. €","30/05/2025","120,00 mill. €"
"Alexander Isak","25","Delantero centro","https://img.a.transfermarkt.technology/portrait/medium/349066-1680791339.jpg?lm=1","Suecia","https://tmssl.akamaized.net//images/flagge/verysmall/147.png?lm=1520611569","Eritrea","https://tmssl.akamaized.net//images/flagge/verysmall/46.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/762.png?lm=1472921161","Newcastle United","120,00 mill. €","30/05/2025","120,00 mill. €"
"Cole Palmer","23","Mediocentro ofensivo","https://img.a.transfermarkt.technology/portrait/medium/568177-1712320986.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/631.png?lm=1682435911","Chelsea FC","130,00 mill. €","30/05/2025","120,00 mill. €"
"Rodri","28","Pivote","https://img.a.transfermarkt.technology/portrait/medium/357565-1682587890.jpg?lm=1","España","https://tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/281.png?lm=1467356331","Manchester City","130,00 mill. €","30/05/2025","110,00 mill. €"
"Alexis Mac Allister","26","Mediocentro","https://img.a.transfermarkt.technology/portrait/medium/534033-1669835342.jpg?lm=1","Argentina","https://tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1520611569","Italia","https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569","https://tmssl.akamaized.net//images/wappen/verysmall/31.png?lm=1727873452","Liverpool FC","100,00 mill. €","30/05/2025","100,00 mill. €"
"Phil Foden","25","Extremo derecho","https://img.a.transfermarkt.technology/portrait/medium/406635-1668524492.jpg?lm=1","Inglaterra","https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/281.png?lm=1467356331","Manchester City","150,00 mill. €","30/05/2025","100,00 mill. €"
"Moisés Caicedo","23","Pivote","https://img.a.transfermarkt.technology/portrait/medium/687626-1660729724.jpg?lm=1","Ecuador","https://tmssl.akamaized.net//images/flagge/verysmall/44.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/631.png?lm=1682435911","Chelsea FC","90,00 mill. €","30/05/2025","90,00 mill. €"
"Martin Ødegaard","26","Mediocentro ofensivo","https://img.a.transfermarkt.technology/portrait/medium/316264-1678877651.jpg?lm=1","Noruega","https://tmssl.akamaized.net//images/flagge/verysmall/125.png?lm=1520611569","N/A","N/A","https://tmssl.akamaized.net//images/wappen/verysmall/11.png?lm=1489787850","Arsenal FC","110,00 mill. €","30/05/2025","85,00 mill. €"
